lobe	comparison	est	stat	p	p.correct
BG	L-IL	-0.334013967306442	6559	6.298112489043102e-5	1.7004903720416377e-4
Cing	L-IL	-0.22409119998481533	7717	0.021913400976580313	0.036978864147979275
FL	L-IL	0.02096740751808896	9448	0.7932960461763195	0.8238074325677165
Ins	L-IL	0.19818639905998267	10439	0.08452951202150255	0.11411484122902846
OL	L-IL	0.5565153135575093	13186	7.460068210696604e-9	3.357030694813472e-8
PL	L-IL	-0.13215337026283364	8245	0.13042963151845596	0.1676952405237291
SC	L-IL	0.12061988780568413	10119	0.2103544940277927	0.25816233357956375
TL-M	L-IL	0.6060444989477738	13589	1.827830931941089e-10	1.2337858790602351e-9
TL-O	L-IL	0.5136267681180122	13059	2.2351063961386508e-8	7.543484086967946e-8
BG	IL-IH	0.3858321785047161	6183	2.0738980311266534e-4	5.090476985492694e-4
Cing	IL-IH	1.043792829597045	8198	9.682916721332091e-19	2.6143875147596646e-17
FL	IL-IH	0.8523407292651307	7930	3.4470539072202154e-16	4.653522774747291e-15
Ins	IL-IH	0.6031010871261452	6468	9.1959548781958e-6	2.75878646345874e-5
OL	IL-IH	0.29278704441814496	5841	0.004520801875660268	0.008718689331630516
PL	IL-IH	0.7312156492525961	7508	1.4165556723752674e-12	1.2749001051377406e-11
SC	IL-IH	0.35001315109307685	5983	0.0013706015748122544	0.0028466340399946823
TL-M	IL-IH	0.26299156533586415	5724	0.011036937610839738	0.01986648769951153
TL-O	IL-IH	0.5452151448976017	6943	1.6585186471843716e-8	6.397143353425434e-8
BG	IH-H	0.20372944884612457	8449	0.034984721626995716	0.049715130733099175
Cing	IH-H	-0.19703003049327747	6070	0.024591446433214773	0.03904360140972937
FL	IH-H	-0.278142507688082	5466	7.958387766977494e-4	0.0017906372475699362
Ins	IH-H	0.09539074406379394	7797	0.36065062519660357	0.42337247305688247
OL	IH-H	0.06270985292985108	7674	0.49094889841224726	0.538979691377837
PL	IH-H	0.008181020627020339	7351	0.9226536972422339	0.9226536972422339
SC	IH-H	0.05290733915344181	7667	0.4990552697942935	0.538979691377837
TL-M	IH-H	0.6369196923773323	10696	4.820162876722775e-10	2.602887953430299e-9
TL-O	IH-H	0.18831670554182617	8513	0.026029067606486246	0.03904360140972937
