lobe	est	stat	p	p.correct
BG	0.15453819484800924	6330	2.1293407721169318e-10	2.395508368631548e-10
Cing	0.20657486916834564	6433	3.799700913040295e-11	6.839461643472531e-11
FL	0.22144701503222675	6422	4.582017821861765e-11	6.873026732792647e-11
Ins	0.24472248789720283	6613	1.5945249048025545e-12	3.5876810358057476e-12
OL	0.2830850981317823	6651	7.955340559877975e-13	2.3866021679633926e-12
PL	0.23480699723389498	6406	6.008092299114949e-11	7.724690098862078e-11
SC	0.1556100361944671	6123	5.568137812497958e-9	5.568137812497958e-9
TL-M	0.429016323281	7460	3.453198243647445e-20	3.1078784192827e-19
TL-O	0.3773250708574224	7379	2.269275553787204e-19	1.0211739992042417e-18
