subjects,raters,model,type,unit,icc.name,value,r0,Fvalue,df1,df2,p.value,conf.level,lbound,ubound,region
48,5,twoway,agreement,single,"ICC(A,1)",0.510585476863665,0,7.88104089219331,47,63.0772038554556,1.23956827107077e-13,0.95,0.355795379193034,0.657619389971371,mesial_temp_l_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.558726067746686,0,10.0741478971497,47,43.3272253392879,1.70266632116775e-12,0.95,0.388731111549392,0.705045036505024,mesial_temp_r_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.423248549754574,0,6.01851851851853,47,58.3888884670002,1.87238299983679e-10,0.95,0.268003578347071,0.581692904026421,temporal_lobe_other_l_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.594935584184807,0,11.188679245283,47,48.0786221319877,2.28177844381641e-14,0.95,0.433072168487011,0.73162701002977,temporal_lobe_other_r_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.34165985759309,0,4.50706925473281,47,67.6880424230008,1.09567686085971e-08,0.95,0.199324599996134,0.500487946980885,insula_l_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.366060225846926,0,4.56589936850682,47,97.2427660790927,1.32606282032415e-10,0.95,0.229361193412741,0.519339647117196,insula_r_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.242009132420091,0,3.86651323360184,47,32.5246971327998,5.61151411948843e-05,0.95,0.099928877054103,0.408838423941694,frontal_l_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.268993020937188,0,4.02466367713005,47,38.9606622354686,1.01281969980654e-05,0.95,0.124655708605723,0.435182966299388,frontal_r_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.186314921681781,0,2.69060442848594,47,68.9246031763157,9.13479156593627e-05,0.95,0.0757696643164728,0.329738968353027,cingulate_l_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.186583154771716,0,2.69867947178872,47,68.1778902749419,9.16815312369155e-05,0.95,0.0758363641053352,0.330168421434421,cingulate_r_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.275162337662338,0,3.78508051265199,47,55.5135909200635,1.63155235273216e-06,0.95,0.139120582999373,0.434655809289902,occipital_l_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.303905909684914,0,4.31275720164609,47,46.7696390277084,8.88520466897517e-07,0.95,0.157210352555525,0.468830300739564,occipital_r_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.402126447693184,0,7.39750302053967,47,21.822436887275,2.41434091346171e-06,0.95,0.20027665656649,0.589498906783696,parietal_l_sum
48,5,twoway,agreement,single,"ICC(A,1)",0.389294718469196,0,7.05104501607717,47,22.2266337948051,3.11535435061393e-06,0.95,0.191245439129292,0.576634181443289,parietal_r_sum
672,5,twoway,agreement,single,"ICC(A,1)",0.436567114472442,0,6.18373757920677,671,86.6391759634736,1.38292959576887e-19,0.95,0.337688021462943,0.522956290333549,All
