region	Cluster	lsmean	SE	df	asymp.LCL	asymp.UCL
cingulate	0	-4.53610327042929	0.7356282468246658	Inf	-5.977908140215976	-3.0942984006426046
frontal	0	-3.2049197760697528	0.7219227334070032	Inf	-4.619862333168189	-1.789977218971316
insula	0	-4.352966538810452	0.7365629546235749	Inf	-5.796603402219068	-2.9093296754018354
mesial_temp	0	-2.427798886370076	0.7192079892383466	Inf	-3.837420642670706	-1.0181771300694462
occipital	0	-4.347578555431028	0.73417958647667	Inf	-5.786544103109811	-2.908613007752245
parietal	0	-1.0264036279450675	0.7134722542783227	Inf	-2.4247835502991832	0.37197629440904834
temporal_lobe_other	0	-2.9712145875203317	0.7225261767936736	Inf	-4.387339871923351	-1.555089303117312
cingulate	1	-4.05262190538368	0.7275378346233563	Inf	-5.4785698586357165	-2.626673952131644
frontal	1	-2.54106674070536	0.7172654871652475	Inf	-3.946881262902821	-1.1352522185078988
insula	1	-4.010536268314287	0.7313749989551603	Inf	-5.444004925459421	-2.577067611169154
mesial_temp	1	-2.3538551298348263	0.7176479434541444	Inf	-3.760419252584186	-0.9472910070854663
occipital	1	-3.9045773845089	0.7255994322063075	Inf	-5.326726138835975	-2.482428630181825
parietal	1	-1.2297344557348557	0.713403892296847	Inf	-2.627980391067367	0.16851147959765567
temporal_lobe_other	1	-3.4984122746132145	0.7223874894695952	Inf	-4.914265736855929	-2.0825588123705003
cingulate	2	-5.347701663042622	0.7469665196226867	Inf	-6.811729139160319	-3.8836741869249254
frontal	2	-3.962467575312917	0.7253830745003869	Inf	-5.38419227632861	-2.5407428742972242
insula	2	-5.618210424611923	0.7581230068785505	Inf	-7.104104213945093	-4.132316635278753
mesial_temp	2	-3.8433696286490835	0.7278177910526373	Inf	-5.2698662864197505	-2.4168729708784165
occipital	2	-5.282889623656361	0.7459490733997718	Inf	-6.744922941820938	-3.8208563054917835
parietal	2	-2.8258068901428706	0.7176221142579412	Inf	-4.232320388597922	-1.4192933916878185
temporal_lobe_other	2	-5.327362687651438	0.7471725003877391	Inf	-6.791793878650146	-3.86293149665273
cingulate	3	-5.582764971856138	0.7534335677424985	Inf	-7.059467629374954	-4.106062314337322
frontal	3	-4.359175829827251	0.7302350657549813	Inf	-5.790410258955252	-2.9279414006992495
insula	3	-5.374519504555555	0.7488955890445477	Inf	-6.842327887263777	-3.9067111218473327
mesial_temp	3	-4.229137676444956	0.730472665182459	Inf	-5.66083779189356	-2.797437560996351
occipital	3	-5.758484573066511	0.7590770859094327	Inf	-7.246248322938615	-4.270720823194407
parietal	3	-2.7505011019608396	0.717283120344326	Inf	-4.156350184554228	-1.3446520193674518
temporal_lobe_other	3	-5.681959267777936	0.7568293569915354	Inf	-7.1653175499239525	-4.198600985631919
